"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401.572847707849","441.573846202891","470.782593874847","536.238564720649","522.495807731902","541.764928751233","605.437596658588","679.636226522557","817.776905953668","1067.74552065091","1482.59361304038","1978.50049741389","2905.59790494149","3765.97314293674","2742.63926312648","2919.04185639802","3156.92207571885","3326.00731076724","3554.67451778079","3646.47337610901","3235.96276814106","3167.75692770151","3514.68305539039","3709.67506973003","4026.73944324833","3519.80302601819","",
"American Samoa","ASM","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2679.29959222835","2828.32186751179","3248.08378234803","3942.4514200299","5331.19580266706","5785.64744835529","6191.12092923822","6364.85343855693","6724.47416074662","7420.42166184374","8154.0974680098","9680.44483151336","10205.5606799315","9356.49684429696","10029.5934122491","9100.13961162584","9039.60445487689","9241.3258812462","11462.4792828541","14160.4814920544","14145.8297929693","14655.1724137931","14484.1383252358","13975.2080149431","14444.1332959955","16002.6560424967","17317.4594506035","18615.3264567695","16973.9725295281","16353.1649582585","17062.6011590873","15443.2596713542","16044.6583958395","18793.288900952","24349.8911931","26541.0790985938","27862.7300354142","31285.4097447618","37709.6549517158","33353.771258131","40210.1512589785","48254.2006221659","53401.4502408674","53830.5541274004","48646.0757738879","44255.97166946","39055.9973629761","41988.695163699","43950.4347970883","42458.8357251088","39193.1473720333","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1759.7226012932","2033.20266617532","2495.95682829766","3328.4494105349","3955.76387432199","4498.01244322562","4849.63039577557","5792.48272098705","6948.93950984521","8302.61907363806","9164.926690521","7856.02830601252","7891.32495570454","8035.00702864752","7564.7026741224","7732.99616588797","11000.2993476441","13769.7294611217","14910.3854196206","14830.2390411424","18364.516108025","18917.0937412273","21044.0152797406","20264.0319883303","21534.458030992","25376.565842312","25015.6520585394","22301.5920726312","22803.661974762","22383.9774263406","20320.621461522","20180.8116167864","21801.6502686169","26645.5767665346","30494.4978968341","31806.6892250678","33983.8191064287","39057.3814412584","43477.7592875127","39492.6577815578","38955.4301095583","42613.8242534865","40000.0427046719","41651.8127795828","42462.5419301513","35787.4316807747","37210.9824935548","38317.4164308628","41592.5712975514","40687.3034892206","38847.7383977147","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452.799191204347","435.564185274498","391.620903014189","462.940132162935","574.7710154859","675.119320872955","763.378077409258","956.880783140785","1374.26263031039","2073.11246547726","3168.86140082616","3330.63492295895","3869.97074991286","4682.1777021071","5190.52508104749","5592.13261488694","6039.80313115392","4460.40822891429","3018.09463023063","3197.67551011855","3373.31715187402","3612.22842571384","3483.5607340881","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","169.196516197067","175.927922522337","169.690941924006","186.05710138689","162.796877623836","185.967426337113","182.043466561075","162.080131796529","149.766779015935","149.969785582211","144.329089445241","148.681302508588","131.930506867474","111.520175562352","103.594461671575","98.1619644017983","76.4342561438654","93.2028558687908","81.4638729790849","86.9616277429612","95.8320053815166","85.4947616643879","71.627617532985","47.1982053971531","65.061735734934","83.9255942104511","101.329547769738","90.5214375674268","103.998176740047","115.80605599583","144.65848264663","151.589468037059","173.047954183824","179.973338370211","192.801906402496","219.192179868689","179.538485976643","172.716197731414","175.027620987172","165.733249949244","173.579851483263","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2399.65640483001","2678.54503005325","3333.29385966493","4282.6112842496","4995.6924687736","5843.46016100891","6355.52630836504","7321.19827172113","8927.25204262722","10214.8759055041","10832.4757623355","8883.27009827181","7759.5017117473","7344.10766758121","7082.43179455834","7366.37564985797","10271.9345094715","12866.9695166295","14017.8458893374","14138.0845079096","17597.4044931973","18001.9243367425","19920.0450605157","19168.0776639339","21106.0082132523","24573.8033391369","23748.0181678246","21441.3856065737","21836.6975699715","21630.2500415835","19773.1983904402","19520.5982168983","21117.2496088905","25780.3171952403","29747.2339150709","30757.8757769274","32319.0517065009","36948.1540039715","40270.8764998754","36697.1015495495","36271.569055579","38185.3523343888","36994.914527252","38720.6954634776","39494.8477824673","33820.5935039625","34479.3442517629","36236.8593034048","39065.186880188","38280.1606408924","36494.3871147527","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","99.8798955174991","120.71378184056","142.628612243836","154.043420165507","179.684530684035","180.451002025891","179.353389962559","220.549028599579","283.817771856387","325.786265378336","293.969361220023","264.784861027411","223.988475076363","203.809691978409","204.674439792245","252.922917086691","288.186217246104","291.257315673282","252.488578885565","320.579195816241","314.593894237417","242.319439664429","328.156180609773","203.702520818695","265.004863220237","277.63775558426","263.46606079555","280.668132343679","436.067755265451","409.266254060256","424.34865378463","481.262165199989","601.152361607307","678.580382485013","704.941468059712","733.245522364719","829.588907589662","967.699465845073","927.698854060494","879.745248908227","969.893864480586","992.881879741242","1102.49351447945","1144.18044260244","958.778028892313","968.536632207734","1003.11475632812","1095.33841211629","1073.62408971803","1133.36431525741","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","267.337472667162","239.364390194879","229.8044817881","203.108333980392","180.182835785719","186.467023158143","238.440821472132","268.670578176136","288.64404672252","280.8917391954","324.366053333361","319.333982019618","332.468907004435","307.878389187805","175.417436452436","216.157179272697","230.411769934523","210.772025676683","233.664414140499","275.20018265138","239.318722141401","249.234192988976","272.592008344195","346.355608827256","385.324486039604","420.282172428938","434.73315432528","491.438797942384","586.396273585789","557.026973869398","556.032212573095","622.438310362914","651.731082238083","680.615137852973","677.810778089812","563.20558063845","595.827065350591","635.640597552179","700.201190129381","693.850413625884","631.958298597952","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.101578057073","168.309950760684","254.330504917413","128.844278821364","117.418705616536","158.648041943202","183.157175685395","208.564850572011","231.265433084698","205.880627457432","193.400492602431","202.563934623582","230.156874661348","219.449814526275","239.5706317303","254.719724279393","269.028914659698","287.287368213826","275.570465190881","276.523195517605","284.185027978224","284.554364270957","312.668411468122","372.885909227976","380.574090314534","386.443682765748","389.169536412573","398.017005799455","393.808197450864","395.839079095328","428.216601453156","457.855573415962","481.172057453958","491.55146714169","543.108040626921","627.286125991486","698.304904248795","777.229635504441","851.459312162629","878.774582684222","972.104126845174","1089.19782715712","1219.15094526725","1359.05729810256","1490.43036308243","1629.10741650811","1916.02166583818","2032.31072885858","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1887.9347652523","1897.39939312462","1842.45351561549","1582.82043612464","1681.7921945424","1634.94483093499","1930.08148649987","2664.03339783861","2090.97733260324","2029.97148126636","1830.63442838383","955.589585104526","1029.48842668595","1079.87039666736","1001.35120234981","2062.79583543648","1321.32367694844","1230.74065322853","1601.10725892617","1439.5982570874","1373.28810213543","1545.73361291384","1857.81560440062","2371.60443541474","2944.2026938418","3321.59459520155","3733.70844078599","4613.44475224304","5973.92533741133","5760.00111761216","5619.55833462577","6408.2604913662","6242.90982834667","6421.09588079473","6643.19101299042","5820.57012888425","6237.5295005964","6971.50501551241","7755.11929688057","8186.92039477843","8419.36453843841","",
